source_start	mapped_start
80457	61098
80629	61270
81154	61795
82090	62731
82590	63231
82603	63244
82811	63452
83158	63799
83326	63967
83545	64186
84257	64898
84647	65288
85259	65900
85310	65951
85729	66370
87119	67760
87977	68618
88108	68749
88453	69094
88767	69408
90339	70980
92078	72719
92251	72892
92253	72894
93217	73858
93706	74347
93904	74545
94613	75254
96321	76962
96372	77013
97175	77816
97361	78002
97364	78005
98593	79234
99430	80071
99840	80481
100014	80655
100087	80728
101025	81666
101338	81979
101341	81982
101372	82013
101433	82074
101438	82079
101442	82083
101447	82088
101498	82139
101505	82146
101535	82176
101568	82209
101574	82215
101575	82216
101576	82217
101579	82220
101582	82223
101718	82359
102060	82701
102555	83196
104475	85116
106471	87112
106721	87362
106775	87416
107149	87790
107514	88155
108186	88827
108283	88924
108803	89444
109367	90008
110173	90814
110343	90984
110447	91088
110705	91346
110867	91508
111075	91716
111450	92091
111725	92366
111886	92527
112224	92865
112250	92891
112799	93440
112858	93499
113034	93675
113043	93684
113077	93718
113098	93739
113222	93863
113290	93931
113450	94091
113887	94528
113951	94592
114063	94704
114119	94760
114311	94952
114411	95052
114452	95093
115525	96166
116290	96931
116481	97122
116586	97227
116753	97394
116754	97395
117367	98008
117850	98491
118047	98688
118289	98930
118859	99500
119026	99667
119160	99801
119543	100184
119584	100225
119631	100272
119854	100495
119864	100505
120004	100645
120058	100699
120263	100904
120714	101355
120721	101362
121264	101905
121540	102181
121564	102205
121883	102524
122158	102799
122710	103351
122876	103517
123001	103642
123879	104520
123893	104534
124258	104899
124750	105391
125457	106098
125994	106635
126063	106704
126164	106805
126370	107011
126530	107171
126816	107457
126972	107613
126988	107629
127546	108187
127645	108286
127687	108328
128070	108711
128308	108949
128317	108958
128538	109179
128631	109272
128647	109288
128736	109377
129260	109901
129417	110058
129457	110098
129552	110193
130061	110702
130097	110738
130120	110761
130130	110771
130329	110970
130338	110979
130339	110980
131474	112115
131558	112199
132236	112877
135824	116465
135857	116498
136146	116787
137367	118008
137393	118034
137446	118087
137509	118150
137952	118593
138893	119534
138955	119596
139089	119730
139345	119986
139452	120093
139486	120127
139830	120471
139912	120553
140547	121188
140669	121310
141183	121824
141335	121976
141867	122508
142336	122977
143608	124249
143661	124302
143771	124412
143906	124547
144480	125121
144897	125538
145508	126149
145888	126529
145959	126600
145973	126614
146089	126730
146119	126760
146282	126923
146289	126930
146330	126971
146553	127194
146977	127618
147051	127692
147079	127720
147311	127952
147791	128432
148061	128702
148072	128713
148222	128863
148422	129063
148434	129075
148862	129503
148994	129635
149217	129858
